Date,S&P Comp Price,Real Price,CAPE (Shiller P/E 10)
1871.01,4.44,89.52,NA
1871.02,4.50,88.04,NA
1871.03,4.61,88.87,NA
1871.04,4.74,94.84,NA
1871.05,4.86,99.50,NA
1871.06,4.82,100.24,NA
1871.07,4.73,98.37,NA
1871.08,4.79,101.21,NA
1871.09,4.84,99.87,NA
1871.1,4.59,93.25,NA
1871.11,4.64,94.27,NA
1871.12,4.74,94.13,NA
1872.01,4.86,96.51,NA
1872.02,4.88,96.91,NA
1872.03,5.04,98.60,NA
1872.04,5.18,99.14,NA
1872.05,5.18,99.14,NA
1872.06,5.13,98.90,NA
1872.07,5.10,99.78,NA
1872.08,5.04,97.88,NA
1872.09,4.95,95.43,NA
1872.1,4.97,97.96,NA
1872.11,4.95,94.74,NA
1872.12,5.07,98.46,NA
1873.01,5.11,99.24,NA
1873.02,5.15,97.85,NA
1873.03,5.11,97.09,NA
1873.04,5.04,95.76,NA
1873.05,5.05,98.07,NA
1873.06,4.98,99.64,NA
1873.07,4.97,99.44,NA
1873.08,4.97,99.44,NA
1873.09,4.59,91.84,NA
1873.1,4.19,85.78,NA
1873.11,4.04,85.36,NA
1873.12,4.42,91.20,NA
1874.01,4.66,94.67,NA
1874.02,4.80,97.52,NA
1874.03,4.73,96.10,NA
1874.04,4.60,94.91,NA
1874.05,4.48,93.17,NA
1874.06,4.46,94.99,NA
1874.07,4.46,94.23,NA
1874.08,4.47,95.21,NA
1874.09,4.54,96.70,NA
1874.1,4.53,98.07,NA
1874.11,4.57,99.75,NA
1874.12,4.54,99.10,NA
1875.01,4.54,99.10,NA
1875.02,4.53,98.88,NA
1875.03,4.59,100.19,NA
1875.04,4.65,100.67,NA
1875.05,4.47,99.21,NA
1875.06,4.38,98.87,NA
1875.07,4.39,99.10,NA
1875.08,4.41,98.71,NA
1875.09,4.37,98.65,NA
1875.1,4.30,97.07,NA
1875.11,4.37,99.50,NA
1875.12,4.37,100.36,NA
1876.01,4.46,103.33,NA
1876.02,4.52,104.72,NA
1876.03,4.51,104.49,NA
1876.04,4.34,101.44,NA
1876.05,4.18,101.28,NA
1876.06,4.15,103.40,NA
1876.07,4.10,102.16,NA
1876.08,3.93,97.01,NA
1876.09,3.69,90.24,NA
1876.1,3.67,88.12,NA
1876.11,3.60,85.66,NA
1876.12,3.58,83.67,NA
1877.01,3.55,81.53,NA
1877.02,3.34,78.76,NA
1877.03,3.17,78.25,NA
1877.04,2.94,70.59,NA
1877.05,2.94,69.33,NA
1877.06,2.73,68.02,NA
1877.07,2.85,70.35,NA
1877.08,3.05,78.21,NA
1877.09,3.24,83.89,NA
1877.1,3.31,85.71,NA
1877.11,3.26,86.10,NA
1877.12,3.25,85.84,NA
1878.01,3.25,88.49,NA
1878.02,3.18,87.49,NA
1878.03,3.24,91.03,NA
1878.04,3.33,94.57,NA
1878.05,3.34,98.01,NA
1878.06,3.41,102.34,NA
1878.07,3.48,103.27,NA
1878.08,3.45,101.24,NA
1878.09,3.52,103.30,NA
1878.1,3.48,103.27,NA
1878.11,3.47,104.14,NA
1878.12,3.45,105.95,NA
1879.01,3.58,108.68,NA
1879.02,3.71,111.35,NA
1879.03,3.65,110.81,NA
1879.04,3.77,115.78,NA
1879.05,3.94,121.00,NA
1879.06,3.96,123.04,NA
1879.07,4.04,124.07,NA
1879.08,4.07,124.99,NA
1879.09,4.22,125.23,NA
1879.1,4.68,131.49,NA
1879.11,4.93,131.52,NA
1879.12,4.92,127.39,NA
1880.01,5.11,128.53,NA
1880.02,5.20,130.80,NA
1880.03,5.30,132.06,NA
1880.04,5.18,134.13,NA
1880.05,4.77,127.25,NA
1880.06,4.79,130.42,NA
1880.07,5.01,136.41,NA
1880.08,5.19,141.31,NA
1880.09,5.18,139.60,NA
1880.1,5.33,143.64,NA
1880.11,5.61,149.66,NA
1880.12,5.84,154.24,NA
1881.01,6.19,165.14,18.47
1881.02,6.17,162.96,18.15
1881.03,6.24,164.80,18.27
1881.04,6.22,162.65,17.95
1881.05,6.50,171.67,18.87
1881.06,6.58,173.78,19.03
1881.07,6.35,166.05,18.12
1881.08,6.20,158.98,17.29
1881.09,6.25,154.27,16.72
1881.1,6.15,150.40,16.26
1881.11,6.19,152.79,16.48
1881.12,6.01,148.35,15.96
1882.01,5.92,146.12,15.68
1882.02,5.79,141.59,15.15
1882.03,5.78,141.35,15.09
1882.04,5.78,140.05,14.92
1882.05,5.71,137.10,14.57
1882.06,5.68,135.15,14.33
1882.07,6.00,144.06,15.24
1882.08,6.18,147.05,15.53
1882.09,6.24,152.60,16.08
1882.1,6.07,149.83,15.76
1882.11,5.81,144.76,15.19
1882.12,5.84,146.90,15.38
1883.01,5.81,146.14,15.27
1883.02,5.68,141.52,14.76
1883.03,5.75,144.63,15.05
1883.04,5.87,149.07,15.48
1883.05,5.77,147.95,15.34
1883.06,5.82,153.71,15.90
1883.07,5.73,154.42,15.95
1883.08,5.47,147.42,15.20
1883.09,5.53,150.57,15.49
1883.1,5.38,146.49,15.05
1883.11,5.46,150.21,15.41
1883.12,5.34,145.40,14.90
1884.01,5.18,141.04,14.43
1884.02,5.32,144.85,14.81
1884.03,5.30,144.31,14.74
1884.04,5.06,140.67,14.35
1884.05,4.65,132.06,13.47
1884.06,4.46,126.66,12.91
1884.07,4.46,128.04,13.04
1884.08,4.74,136.07,13.86
1884.09,4.59,133.22,13.57
1884.1,4.44,130.29,13.27
1884.11,4.35,130.55,13.30
1884.12,4.34,131.75,13.43
1885.01,4.24,128.72,13.13
1885.02,4.37,131.15,13.38
1885.03,4.38,134.51,13.73
1885.04,4.37,132.66,13.55
1885.05,4.32,134.23,13.71
