YR,MO,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1940,6,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
1941,6,2,0,0,0,16,3,5,T,0,0,1,T,0,T,0,T,7,12,22,T,T,T,0,4,9,0,0,T,0,0
1942,6,0,T,0,0,46,4,T,14,12,23,3,0,0,14,29,4,T,4,T,0,0,0,0,24,17,T,0,0,0,0
1943,6,23,33,0,6,0,0,0,0,0,0,0,28,6,5,T,0,58,5,33,27,44,11,1,0,0,0,0,0,0,0
1944,6,25,T,T,0,0,0,T,T,T,0,0,0,T,0,5,24,21,3,2,0,0,0,0,0,1,T,0,0,0,T
1945,6,0,0,T,0,0,1,0,T,T,0,0,T,6,0,0,0,0,0,0,0,T,0,0,0,0,0,0,T,T,0
1946,6,0,T,T,0,26,3,24,T,5,0,0,0,T,3,8,20,0,0,0,0,T,6,5,13,5,15,1,50,5,2
1947,6,44,23,14,4,3,11,45,21,27,3,0,0,T,0,16,38,0,T,T,16,0,0,0,0,1,11,16,T,0,0
1948,6,0,0,0,T,0,0,0,0,0,66,18,19,1,T,0,T,T,0,9,29,T,T,0,T,0,T,0,0,0,0
1949,6,T,0,0,0,0,0,0,T,T,0,0,0,0,0,0,8,0,0,25,5,0,0,0,1,1,9,0,18,1,0
1950,6,0,0,0,0,T,T,41,0,72,35,0,4,T,1,3,18,20,0,0,0,0,T,37,19,T,T,0,0,0,0
1951,6,0,0,0,1,T,1,0,0,0,0,T,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,6,0,0,0,0,T,T,0,0,0,3,47,3,4,52,T,0,0,0,0,10,20,0,T,1,0,0,17,39,27,T
1953,6,T,T,3,0,34,55,15,1,1,T,2,39,0,0,0,0,T,T,24,10,0,0,1,0,0,1,1,13,4,0
1954,6,0,0,11,38,14,10,T,57,T,2,4,4,T,16,56,7,6,0,30,0,0,0,0,0,2,6,14,0,0,81
1955,6,T,8,20,8,0,0,0,0,0,0,0,0,0,1,0,0,T,T,0,0,0,15,7,10,3,5,37,63,5,1
1956,6,T,T,20,19,9,3,T,T,12,54,0,0,1,49,0,10,0,8,18,T,0,0,0,0,0,0,0,0,0,0
1957,6,0,0,0,0,5,0,T,0,0,0,7,6,21,29,T,0,0,0,0,4,T,0,0,0,0,1,0,0,0,0
1958,6,0,1,T,0,12,170,0,T,T,3,10,T,T,0,0,0,0,0,T,0,0,0,0,70,0,T,T,2,34,2
1959,6,0,T,4,52,10,4,T,24,19,28,26,T,0,17,0,2,T,0,0,0,0,0,T,T,T,T,30,22,0,0
1960,6,0,0,0,0,0,0,0,0,0,0,0,0,5,40,0,1,0,0,6,T,0,0,0,0,T,0,0,0,0,0
1961,6,0,0,0,0,0,28,0,T,T,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,T,0,2,0
1962,6,0,46,22,T,T,0,0,T,0,0,0,T,9,0,0,0,0,0,0,0,0,0,0,0,1,T,0,0,0,0
1963,6,0,10,0,30,10,0,2,T,T,0,0,0,0,0,0,0,0,0,T,11,20,18,T,42,4,0,8,8,7,1
1964,6,3,0,3,40,4,38,19,7,0,0,T,0,2,1,18,21,28,4,0,0,0,0,0,0,0,T,8,0,0,0
1965,6,0,0,0,0,0,0,0,T,0,T,38,0,19,26,0,0,T,0,0,0,0,0,0,0,0,0,0,0,0,0
1966,6,0,T,T,0,0,T,2,0,0,6,4,0,0,0,0,T,0,0,0,T,3,22,17,0,0,0,8,40,0,0
1967,6,1,0,0,0,0,0,0,0,0,T,T,0,0,0,0,0,0,0,0,16,44,40,0,0,0,T,0,0,0,0
1968,6,97,7,0,0,0,0,T,0,0,T,2,5,21,T,0,0,0,0,10,0,29,24,0,0,0,0,1,23,1,0
1969,6,0,0,0,0,6,2,0,0,0,2,0,T,0,T,T,0,0,0,0,0,,33,87,22,29,58,28,32,0,0
1970,6,0,0,0,0,0,0,0,4,20,1,T,0,T,T,9,0,0,0,0,T,T,0,0,0,0,0,T,3,10,2
1971,6,7,T,0,0,0,2,1,0,5,5,T,10,11,0,0,0,1,22,0,T,0,3,T,82,22,T,5,0,0,0
1972,6,0,0,0,0,0,T,T,T,37,T,11,0,0,6,T,0,0,0,0,0,0,T,6,8,T,0,0,0,0,0
1973,6,0,T,1,0,0,1,0,0,T,0,T,9,T,3,1,49,10,0,0,0,T,0,T,42,29,T,0,0,0,0
1974,6,0,T,8,26,T,T,0,0,0,0,0,0,0,T,0,0,0,0,0,0,0,0,0,0,15,23,8,0,0,0
1975,6,0,1,T,0,0,0,0,0,0,0,0,0,0,0,0,2,T,T,4,T,0,T,17,48,4,17,11,2,0,7
1976,6,11,0,0,0,T,0,T,T,0,0,5,0,T,0,35,5,0,0,0,0,0,0,1,1,0,0,0,0,0,20
1977,6,T,0,55,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
1978,6,0,0,0,0,0,0,0,0,23,24,0,18,36,55,1,0,0,T,0,0,T,T,12,T,T,0,0,0,T,0
1979,6,0,0,0,0,7,T,0,0,0,0,0,0,0,14,T,21,13,0,1,0,0,0,0,0,0,0,0,T,0,8
1980,6,18,27,34,0,2,2,10,24,0,T,2,6,89,3,0,3,0,0,0,T,0,6,1,12,11,T,0,0,0,0
